Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
95000,0.9686576,0.00019999965,99.616844,602.7273293669159,602.7273282837898,329.05405405405406,270.11777,0.03520021
96000,0.9706046,0.00019999965,102.03211,913.3037547005547,913.3037484321178,478.3703703703704,250.09436,0.027339894
97000,0.9651772,0.00019999965,101.075294,1262.1411998377691,1262.1412007321915,647.3225806451613,294.935,0.03377629
98000,0.9733545,0.00019999965,105.08814,532.5464013179143,532.5464036877189,289.8,238.16281,0.036916085
99000,0.98186487,0.00019999965,102.020546,545.0444231090091,545.044423098257,306.3333333333333,311.4438,0.035434403
100000,0.97933555,0.00019999963,105.315056,680.847318983078,680.847320969992,372.57142857142856,301.12286,0.036898717
101000,0.9700382,0.0001999996,105.24823,1767.9036467610574,1767.9036536205772,892.1836734693877,236.76538,0.03622714
102000,0.94668555,0.0001999996,106.4171,508.2738061466733,508.2738050916247,288.4864864864865,263.1447,0.03201628
103000,0.97019064,0.0001999996,106.50575,831.1515065027135,831.1515072377549,449.07142857142856,306.09796,0.033618
104000,0.9925891,0.0001999996,111.17514,753.3692917751544,753.3692945145888,399.4848484848485,242.53687,0.036772918
105000,0.96383446,0.0001999996,108.95539,1402.1146379899978,1402.1146471565653,714.16,225.10999,0.031805735
106000,0.9792703,0.0001999996,111.4898,550.6216817147591,550.6216816326514,298.02941176470586,242.8247,0.0339292
107000,0.9937876,0.0001999996,112.1539,543.7022859982081,543.7022855089784,275.62857142857143,381.94144,0.036885656
108000,1.014484,0.0001999996,113.0945,626.9145471324791,626.9145432927975,331.86486486486484,297.523,0.038150944
109000,1.0362619,0.0001999996,111.55216,1547.4425065361086,1547.442501205446,795.8524590163935,393.49078,0.03843464
110000,1.032408,0.0001999996,113.16246,633.5627637787869,633.5627652269038,355.7105263157895,361.2917,0.03407778
111000,1.042436,0.0001999996,114.57301,528.0412517488003,528.0412511509141,283.95454545454544,361.38065,0.034397513
112000,1.0400723,0.0001999996,116.05739,481.4627443338052,481.462746591138,277.56410256410254,268.0578,0.03410732
113000,1.036202,0.00019999957,116.27342,1537.7127288692095,1537.7127242836457,768.1509433962265,408.36758,0.036531847
114000,1.0185326,0.00019999957,118.58483,588.0409305542707,588.0409288795669,329.25,316.05176,0.038869657
115000,0.99043596,0.00019999954,122.178825,904.6864892673492,904.6864872796126,449.92,271.17578,0.037881322
